   W         E1+(pi0_p)
 (MeV)      Re      Im
 1819.0   -0.138   0.362
 1820.0   -0.139   0.359
 1821.0   -0.139   0.357
 1822.0   -0.140   0.354
 1823.0   -0.141   0.351
 1824.0   -0.142   0.349
 1825.0   -0.142   0.346
 1826.0   -0.143   0.343
 1827.0   -0.144   0.341
 1828.0   -0.144   0.338
 1829.0   -0.145   0.335
 1830.0   -0.145   0.333
 1831.0   -0.146   0.330
 1832.0   -0.146   0.328
 1833.0   -0.147   0.325
 1834.0   -0.147   0.323
 1835.0   -0.148   0.320
 1836.0   -0.148   0.317
 1837.0   -0.149   0.315
 1838.0   -0.149   0.312
 1839.0   -0.149   0.310
 1840.0   -0.150   0.307
 1841.0   -0.150   0.305
 1842.0   -0.150   0.302
 1843.0   -0.150   0.300
 1844.0   -0.150   0.298
 1845.0   -0.150   0.295
 1846.0   -0.151   0.293
 1847.0   -0.151   0.290
 1848.0   -0.151   0.288
 1849.0   -0.151   0.286
 1850.0   -0.151   0.283
 1851.0   -0.151   0.281
 1852.0   -0.151   0.279
 1853.0   -0.151   0.276
 1854.0   -0.151   0.274
 1855.0   -0.151   0.272
 1856.0   -0.151   0.269
 1857.0   -0.151   0.267
 1858.0   -0.151   0.265
 1859.0   -0.151   0.263
 1860.0   -0.151   0.260
 1861.0   -0.151   0.258
 1862.0   -0.151   0.256
 1863.0   -0.150   0.254
 1864.0   -0.150   0.252
 1865.0   -0.150   0.249
 1866.0   -0.150   0.247
 1867.0   -0.150   0.245
 1868.0   -0.149   0.243
 1869.0   -0.149   0.241
 1870.0   -0.149   0.239
 1871.0   -0.149   0.237
 1872.0   -0.148   0.235
 1873.0   -0.148   0.233
 1874.0   -0.148   0.231
 1875.0   -0.147   0.229
 1876.0   -0.147   0.227
 1877.0   -0.147   0.225
 1878.0   -0.146   0.223
 1879.0   -0.146   0.221
 1880.0   -0.146   0.219
 1881.0   -0.145   0.217
 1882.0   -0.145   0.215
 1883.0   -0.145   0.213
 1884.0   -0.144   0.211
 1885.0   -0.144   0.209
 1886.0   -0.143   0.207
 1887.0   -0.143   0.205
 1888.0   -0.142   0.204
 1889.0   -0.142   0.202
 1890.0   -0.142   0.200
 1891.0   -0.141   0.198
 1892.0   -0.141   0.196
 1893.0   -0.140   0.195
 1894.0   -0.140   0.193
 1895.0   -0.139   0.191
 1896.0   -0.138   0.189
 1897.0   -0.138   0.188
 1898.0   -0.137   0.186
 1899.0   -0.137   0.184
 1900.0   -0.136   0.182
 1901.0   -0.136   0.181
 1902.0   -0.135   0.179
 1903.0   -0.135   0.177
 1904.0   -0.134   0.176
 1905.0   -0.133   0.174
 1906.0   -0.133   0.172
 1907.0   -0.132   0.171
 1908.0   -0.132   0.169
 1909.0   -0.131   0.167
 1910.0   -0.130   0.166
 1911.0   -0.130   0.164
 1912.0   -0.129   0.163
 1913.0   -0.129   0.161
 1914.0   -0.128   0.160
 1915.0   -0.127   0.158
 1916.0   -0.127   0.157
 1917.0   -0.126   0.155
 1918.0   -0.125   0.154
 1919.0   -0.125   0.152
 1920.0   -0.124   0.151
 1921.0   -0.123   0.149
 1922.0   -0.123   0.148
 1923.0   -0.122   0.147
 1924.0   -0.121   0.145
 1925.0   -0.120   0.144
 1926.0   -0.120   0.142
 1927.0   -0.119   0.141
 1928.0   -0.118   0.139
 1929.0   -0.117   0.138
 1930.0   -0.117   0.137
 1931.0   -0.116   0.135
 1932.0   -0.115   0.134
 1933.0   -0.115   0.133
 1934.0   -0.114   0.131
 1935.0   -0.113   0.130
 1936.0   -0.113   0.129
 1937.0   -0.112   0.127
 1938.0   -0.111   0.126
 1939.0   -0.110   0.125
 1940.0   -0.110   0.124
 1941.0   -0.109   0.122
 1942.0   -0.108   0.121
 1943.0   -0.107   0.120
 1944.0   -0.107   0.119
 1945.0   -0.106   0.117
 1946.0   -0.105   0.116
 1947.0   -0.104   0.115
 1948.0   -0.103   0.114
 1949.0   -0.103   0.113
 1950.0   -0.102   0.112
 1951.0   -0.101   0.110
 1952.0   -0.100   0.109
 1953.0   -0.099   0.108
 1954.0   -0.099   0.107
 1955.0   -0.098   0.106
 1956.0   -0.097   0.105
 1957.0   -0.096   0.104
 1958.0   -0.096   0.103
 1959.0   -0.095   0.101
 1960.0   -0.094   0.100
 1961.0   -0.093   0.099
 1962.0   -0.093   0.098
 1963.0   -0.092   0.097
 1964.0   -0.091   0.096
 1965.0   -0.090   0.095
 1966.0   -0.089   0.094
 1967.0   -0.089   0.093
 1968.0   -0.088   0.092
 1969.0   -0.087   0.091
 1970.0   -0.086   0.090
 1971.0   -0.085   0.089
