!           [syst = 5%]
!--------------------------------------------------------#001
!Tagger channel 308, Eg=146.95+/-1.17, W=1075.23+/- 1.02 MeV, Pol=0.5132
! 5 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
! Tagger channel 256, Eg=272.36+/-1.24, W=1179.60+/-0.98 MeV, Pol=0.2218
! 11 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
1  -0.9091    1.14699e-01   2.94841e-02
2  -0.7273    3.00479e-01   2.48823e-02
3  -0.5455    4.02034e-01   2.16354e-02
4  -0.3637    3.96831e-01   1.94467e-02
5  -0.1819    4.07385e-01   1.94672e-02
6   0.0000    4.01199e-01   2.01490e-02
7   0.1819    4.30505e-01   2.02146e-02
8   0.3637    4.15917e-01   2.12338e-02
9   0.5455    4.00180e-01   2.38760e-02
10  0.7273    2.69274e-01   3.09822e-02
11  0.9091    1.68124e-01   5.01809e-02
!--------------------------------------------------------#037
! Tagger channel 255, Eg=274.83+/-1.24, W=1181.56+/-0.98 MeV, Pol=0.2286
! 11 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
1  -0.9091    1.24754e-01   2.82772e-02
2  -0.7273    3.02324e-01   2.36539e-02
3  -0.5455    3.34688e-01   2.08533e-02
4  -0.3637    3.72773e-01   1.85429e-02
5  -0.1819    4.79059e-01   1.84373e-02
6   0.0000    4.35810e-01   1.91913e-02
7   0.1819    4.29754e-01   1.91900e-02
8   0.3637    3.97539e-01   2.03111e-02
9   0.5455    3.93579e-01   2.28848e-02
10  0.7273    2.94596e-01   2.94481e-02
11  0.9091    1.41277e-01   4.67386e-02
!--------------------------------------------------------#038
! Tagger channel 254, Eg=277.31+/-1.24, W=1183.53+/-0.98 MeV, Pol=0.2353
! 11 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
1  -0.9091    1.70287e-01   2.66472e-02
2  -0.7273    3.08159e-01   2.21375e-02
3  -0.5455    3.65084e-01   1.94791e-02
4  -0.3637    3.99929e-01   1.72717e-02
5  -0.1819    3.98931e-01   1.70481e-02
6   0.0000    4.11128e-01   1.79865e-02
7   0.1819    4.40020e-01   1.76978e-02
8   0.3637    4.17780e-01   1.86892e-02
9   0.5455    3.94126e-01   2.10879e-02
10  0.7273    3.24583e-01   2.71665e-02
11  0.9091    1.97376e-01   4.41766e-02
!--------------------------------------------------------#039
! Tagger channel 253, Eg=279.79+/-1.24, W=1185.49+/-0.98 MeV, Pol=0.2422
! 11 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
1  -0.9091    1.21158e-01   2.53317e-02
2  -0.7273    2.96827e-01   2.12330e-02
3  -0.5455    3.68346e-01   1.85071e-02
4  -0.3637    3.94946e-01   1.65592e-02
5  -0.1819    4.29284e-01   1.60897e-02
6   0.0000    4.27223e-01   1.68241e-02
7   0.1819    4.44472e-01   1.68791e-02
8   0.3637    4.49583e-01   1.77156e-02
9   0.5455    3.68780e-01   2.00974e-02
10  0.7273    3.43356e-01   2.56231e-02
11  0.9091    1.26582e-01   4.25643e-02
!--------------------------------------------------------#040
! Tagger channel 252, Eg=282.27+/-1.24, W=1187.45+/-0.98 MeV, Pol=0.2496
! 11 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
1  -0.9091    1.31400e-01   2.47724e-02
2  -0.7273    3.15796e-01   2.06064e-02
3  -0.5455    3.54734e-01   1.80211e-02
4  -0.3637    4.12079e-01   1.61485e-02
5  -0.1819    4.56977e-01   1.54813e-02
6   0.0000    4.40778e-01   1.62921e-02
7   0.1819    4.50890e-01   1.63681e-02
8   0.3637    4.06812e-01   1.71210e-02
9   0.5455    4.05756e-01   1.93654e-02
10  0.7273    3.00082e-01   2.46080e-02
11  0.9091    2.27204e-01   4.11469e-02
!--------------------------------------------------------#041
! Tagger channel 251, Eg=284.75+/-1.24, W=1189.41+/-0.98 MeV, Pol=0.2565
! 11 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
1  -0.9091    1.33988e-01   2.45991e-02
2  -0.7273    3.19931e-01   2.00485e-02
3  -0.5455    3.69509e-01   1.76282e-02
4  -0.3637    4.34420e-01   1.57755e-02
5  -0.1819    4.55275e-01   1.51737e-02
6   0.0000    4.61437e-01   1.57650e-02
7   0.1819    4.60253e-01   1.59910e-02
8   0.3637    4.05837e-01   1.66653e-02
9   0.5455    3.91559e-01   1.85546e-02
10  0.7273    3.34128e-01   2.38430e-02
11  0.9091    1.74773e-01   4.04054e-02
!--------------------------------------------------------#042
! Tagger channel 250, Eg=287.23+/-1.24, W=1191.36+/-0.98 MeV, Pol=0.2636
! 11 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
1  -0.9091    1.31227e-01   2.49230e-02
2  -0.7273    2.98276e-01   2.03986e-02
3  -0.5455    3.72421e-01   1.79486e-02
4  -0.3637    4.33119e-01   1.61325e-02
5  -0.1819    4.48361e-01   1.53966e-02
