   W         E6-(pi+_n)
 (MeV)      Re         Im
 1791.0    0.073057  -0.003717
 1792.0    0.073034  -0.003705
 1793.0    0.073011  -0.003693
 1794.0    0.072987  -0.003681
 1795.0    0.072964  -0.003669
 1796.0    0.072940  -0.003656
 1797.0    0.072917  -0.003644
 1798.0    0.072893  -0.003631
 1799.0    0.072870  -0.003619
 1800.0    0.072846  -0.003606
 1801.0    0.072822  -0.003593
 1802.0    0.072798  -0.003580
 1803.0    0.072774  -0.003567
 1804.0    0.072750  -0.003554
 1805.0    0.072726  -0.003541
 1806.0    0.072702  -0.003527
 1807.0    0.072678  -0.003514
 1808.0    0.072654  -0.003500
 1809.0    0.072630  -0.003486
 1810.0    0.072606  -0.003473
 1811.0    0.072581  -0.003459
 1812.0    0.072557  -0.003444
 1813.0    0.072532  -0.003430
 1814.0    0.072508  -0.003416
 1815.0    0.072483  -0.003402
 1816.0    0.072459  -0.003387
 1817.0    0.072434  -0.003372
 1818.0    0.072409  -0.003358
 1819.0    0.072385  -0.003343
 1820.0    0.072360  -0.003328
 1821.0    0.072335  -0.003313
 1822.0    0.072310  -0.003297
 1823.0    0.072285  -0.003282
 1824.0    0.072260  -0.003267
 1825.0    0.072235  -0.003251
 1826.0    0.072210  -0.003235
 1827.0    0.072184  -0.003220
 1828.0    0.072159  -0.003204
 1829.0    0.072134  -0.003188
 1830.0    0.072108  -0.003172
 1831.0    0.072083  -0.003155
 1832.0    0.072057  -0.003139
 1833.0    0.072032  -0.003122
 1834.0    0.072006  -0.003106
 1835.0    0.071981  -0.003089
 1836.0    0.071955  -0.003072
 1837.0    0.071929  -0.003055
 1838.0    0.071903  -0.003038
 1839.0    0.071877  -0.003021
 1840.0    0.071852  -0.003004
 1841.0    0.071826  -0.002986
 1842.0    0.071799  -0.002968
 1843.0    0.071773  -0.002951
 1844.0    0.071747  -0.002933
 1845.0    0.071721  -0.002915
 1846.0    0.071695  -0.002897
 1847.0    0.071668  -0.002879
 1848.0    0.071642  -0.002860
 1849.0    0.071616  -0.002842
 1850.0    0.071589  -0.002824
 1851.0    0.071563  -0.002805
 1852.0    0.071536  -0.002786
 1853.0    0.071509  -0.002767
 1854.0    0.071483  -0.002748
 1855.0    0.071456  -0.002729
 1856.0    0.071429  -0.002710
 1857.0    0.071402  -0.002690
 1858.0    0.071375  -0.002671
 1859.0    0.071348  -0.002651
