   W         E3+(pi+_n)
 (MeV)      Re      Im
 1781.0    0.234   0.020
 1782.0    0.234   0.020
 1783.0    0.234   0.020
 1784.0    0.233   0.020
 1785.0    0.233   0.020
 1786.0    0.233   0.020
 1787.0    0.232   0.020
 1788.0    0.232   0.020
 1789.0    0.232   0.020
 1790.0    0.231   0.020
 1791.0    0.231   0.020
 1792.0    0.230   0.020
 1793.0    0.230   0.020
 1794.0    0.230   0.020
 1795.0    0.229   0.021
 1796.0    0.229   0.021
 1797.0    0.229   0.021
 1798.0    0.228   0.021
 1799.0    0.228   0.021
 1800.0    0.228   0.021
 1801.0    0.227   0.021
 1802.0    0.227   0.021
 1803.0    0.226   0.021
 1804.0    0.226   0.021
 1805.0    0.226   0.021
 1806.0    0.225   0.021
 1807.0    0.225   0.021
 1808.0    0.225   0.021
 1809.0    0.224   0.021
 1810.0    0.224   0.021
 1811.0    0.223   0.021
 1812.0    0.223   0.021
 1813.0    0.223   0.021
 1814.0    0.222   0.020
 1815.0    0.222   0.020
 1816.0    0.221   0.020
 1817.0    0.221   0.020
 1818.0    0.221   0.020
 1819.0    0.220   0.020
 1820.0    0.220   0.020
 1821.0    0.219   0.020
 1822.0    0.219   0.020
 1823.0    0.219   0.020
 1824.0    0.218   0.020
 1825.0    0.218   0.020
 1826.0    0.217   0.020
 1827.0    0.217   0.020
 1828.0    0.217   0.020
 1829.0    0.216   0.020
 1830.0    0.216   0.019
 1831.0    0.215   0.019
 1832.0    0.215   0.019
 1833.0    0.215   0.019
 1834.0    0.214   0.019
 1835.0    0.214   0.019
 1836.0    0.213   0.019
 1837.0    0.213   0.019
 1838.0    0.212   0.019
 1839.0    0.212   0.018
 1840.0    0.212   0.018
 1841.0    0.211   0.018
 1842.0    0.211   0.018
 1843.0    0.210   0.018
 1844.0    0.210   0.018
 1845.0    0.210   0.017
 1846.0    0.209   0.017
 1847.0    0.209   0.017
 1848.0    0.208   0.017
 1849.0    0.208   0.017
 1850.0    0.208   0.017
 1851.0    0.207   0.016
 1852.0    0.207   0.016
 1853.0    0.207   0.016
 1854.0    0.206   0.016
 1855.0    0.206   0.016
 1856.0    0.205   0.015
 1857.0    0.205   0.015
 1858.0    0.205   0.015
 1859.0    0.204   0.015
 1860.0    0.204   0.014
 1861.0    0.204   0.014
 1862.0    0.203   0.014
 1863.0    0.203   0.014
 1864.0    0.203   0.013
 1865.0    0.202   0.013
 1866.0    0.202   0.013
 1867.0    0.202   0.013
 1868.0    0.201   0.012
 1869.0    0.201   0.012
 1870.0    0.201   0.012
 1871.0    0.200   0.011
 1872.0    0.200   0.011
 1873.0    0.200   0.011
 1874.0    0.199   0.011
 1875.0    0.199   0.010
 1876.0    0.199   0.010
 1877.0    0.199   0.010
 1878.0    0.198   0.009
 1879.0    0.198   0.009
 1880.0    0.198   0.009
 1881.0    0.197   0.009
 1882.0    0.197   0.008
 1883.0    0.197   0.008
 1884.0    0.197   0.008
 1885.0    0.196   0.007
 1886.0    0.196   0.007
 1887.0    0.196   0.007
 1888.0    0.196   0.006
 1889.0    0.195   0.006
 1890.0    0.195   0.006
 1891.0    0.195   0.005
 1892.0    0.195   0.005
 1893.0    0.195   0.005
 1894.0    0.195   0.004
 1895.0    0.194   0.004
 1896.0    0.194   0.004
 1897.0    0.194   0.003
 1898.0    0.194   0.003
 1899.0    0.194   0.003
 1900.0    0.193   0.002
 1901.0    0.193   0.002
 1902.0    0.193   0.002
 1903.0    0.193   0.001
 1904.0    0.193   0.001
 1905.0    0.192   0.001
 1906.0    0.192   0.000
 1907.0    0.192   0.000
 1908.0    0.192   0.000
 1909.0    0.192  -0.001
 1910.0    0.192  -0.001
 1911.0    0.192  -0.001
 1912.0    0.192  -0.002
 1913.0    0.192  -0.002
 1914.0    0.192  -0.002
 1915.0    0.192  -0.003
 1916.0    0.192  -0.003
 1917.0    0.192  -0.003
 1918.0    0.192  -0.004
 1919.0    0.192  -0.004
 1920.0    0.192  -0.004
 1921.0    0.192  -0.004
 1922.0    0.191  -0.005
 1923.0    0.191  -0.005
 1924.0    0.191  -0.005
 1925.0    0.191  -0.005
 1926.0    0.191  -0.006
 1927.0    0.191  -0.006
 1928.0    0.191  -0.006
 1929.0    0.191  -0.007
 1930.0    0.191  -0.007
 1931.0    0.191  -0.007
 1932.0    0.191  -0.007
 1933.0    0.191  -0.008
 1934.0    0.191  -0.008
 1935.0    0.191  -0.008
 1936.0    0.191  -0.008
 1937.0    0.191  -0.009
 1938.0    0.191  -0.009
 1939.0    0.191  -0.009
 1940.0    0.191  -0.009
 1941.0    0.191  -0.010
 1942.0    0.191  -0.010
 1943.0    0.191  -0.010
 1944.0    0.191  -0.010
 1945.0    0.191  -0.011
 1946.0    0.191  -0.011
 1947.0    0.191  -0.011
 1948.0    0.191  -0.011
 1949.0    0.191  -0.011
 1950.0    0.191  -0.012
 1951.0    0.191  -0.012
 1952.0    0.192  -0.012
 1953.0    0.192  -0.012
 1954.0    0.192  -0.012
 1955.0    0.192  -0.013
 1956.0    0.192  -0.013
 1957.0    0.192  -0.013
 1958.0    0.192  -0.013
 1959.0    0.192  -0.013
 1960.0    0.192  -0.013
 1961.0    0.192  -0.014
 1962.0    0.192  -0.014
 1963.0    0.192  -0.014
 1964.0    0.192  -0.014
 1965.0    0.192  -0.014
 1966.0    0.192  -0.014
 1967.0    0.192  -0.014
 1968.0    0.192  -0.015
 1969.0    0.192  -0.015
 1970.0    0.192  -0.015
 1971.0    0.192  -0.015
